"","Term","Frequence","name"
"1",NA,NA,NA
"2","abil",1,"AbrahamLincoln"
"3","absorb",1,"AbrahamLincoln"
"5","access",1,"AbrahamLincoln"
"7","achiev",1,"AbrahamLincoln"
"11","actual",1,"AbrahamLincoln"
"14","adjust",1,"AbrahamLincoln"
"17","admit",1,"AbrahamLincoln"
"18","advantag",1,"AbrahamLincoln"
"21","afford",1,"AbrahamLincoln"
"22","agent",1,"AbrahamLincoln"
"23","aggressor",1,"AbrahamLincoln"
"25","aid",1,"AbrahamLincoln"
"27","allow",1,"AbrahamLincoln"
"29","alreadi",1,"AbrahamLincoln"
"31","altern",1,"AbrahamLincoln"
"36","amic",1,"AbrahamLincoln"
"38","ampl",1,"AbrahamLincoln"
"40","angel",1,"AbrahamLincoln"
"44","anxieti",1,"AbrahamLincoln"
"45","anxious",1,"AbrahamLincoln"
"46","anyon",1,"AbrahamLincoln"
"47","anywher",1,"AbrahamLincoln"
"49","applic",1,"AbrahamLincoln"
"50","appoint",1,"AbrahamLincoln"
"52","arbitrarili",1,"AbrahamLincoln"
"53","aris",1,"AbrahamLincoln"
"55","arrang",1,"AbrahamLincoln"
"57","ascertain",1,"AbrahamLincoln"
"58","ascrib",1,"AbrahamLincoln"
"59","ask",1,"AbrahamLincoln"
"60","assail",1,"AbrahamLincoln"
"61","assault",1,"AbrahamLincoln"
"62","assert",1,"AbrahamLincoln"
"63","assist",1,"AbrahamLincoln"
"65","assum",1,"AbrahamLincoln"
"66","assur",1,"AbrahamLincoln"
"67","astound",1,"AbrahamLincoln"
"68","attain",1,"AbrahamLincoln"
"71","attribut",1,"AbrahamLincoln"
"72","audac",1,"AbrahamLincoln"
"74","authorit",1,"AbrahamLincoln"
"75","avert",1,"AbrahamLincoln"
"76","avoid",1,"AbrahamLincoln"
"77","away",1,"AbrahamLincoln"
"78","balanc",1,"AbrahamLincoln"
"79","battl",1,"AbrahamLincoln"
"80","battlefield",1,"AbrahamLincoln"
"81","becom",1,"AbrahamLincoln"
"84","benefit",1,"AbrahamLincoln"
"88","bibl",1,"AbrahamLincoln"
"90","blood",1,"AbrahamLincoln"
"91","bloodsh",1,"AbrahamLincoln"
"92","bodi",1,"AbrahamLincoln"
"93","bond",1,"AbrahamLincoln"
"94","bondsman",1,"AbrahamLincoln"
"96","branch",1,"AbrahamLincoln"
"97","bread",1,"AbrahamLincoln"
"99","brief",1,"AbrahamLincoln"
"100","briefli",1,"AbrahamLincoln"
"101","broad",1,"AbrahamLincoln"
"102","brought",1,"AbrahamLincoln"
"103","build",1,"AbrahamLincoln"
"108","candid",1,"AbrahamLincoln"
"113","central",1,"AbrahamLincoln"
"115","chanc",1,"AbrahamLincoln"
"117","chariti",1,"AbrahamLincoln"
"118","check",1,"AbrahamLincoln"
"121","chief",1,"AbrahamLincoln"
"122","chiefli",1,"AbrahamLincoln"
"124","chord",1,"AbrahamLincoln"
"125","chorus",1,"AbrahamLincoln"
"126","chosen",1,"AbrahamLincoln"
"127","christian",1,"AbrahamLincoln"
"129","citi",1,"AbrahamLincoln"
"133","class",1,"AbrahamLincoln"
"136","close",1,"AbrahamLincoln"
"137","collect",1,"AbrahamLincoln"
"138","color",1,"AbrahamLincoln"
"140","cometh",1,"AbrahamLincoln"
"141","commiss",1,"AbrahamLincoln"
"142","communiti",1,"AbrahamLincoln"
"144","complianc",1,"AbrahamLincoln"
"145","compos",1,"AbrahamLincoln"
"146","concern",1,"AbrahamLincoln"
"147","conclus",1,"AbrahamLincoln"
"148","conduct",1,"AbrahamLincoln"
"149","confeder",1,"AbrahamLincoln"
"150","confederaci",1,"AbrahamLincoln"
"151","confess",1,"AbrahamLincoln"
